lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23452334,https://e-auksion.uz/lot-view?lot_id=23452334,Rishton tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,13704768.0,17130960.0,0.8,3,0,0,0,0,0,0,3782
23468803,https://e-auksion.uz/lot-view?lot_id=23468803,Furqat tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),11983677.52,14979596.9,0.7999999999999999,3,0,0,0,0,0,0,3782
23468964,https://e-auksion.uz/lot-view?lot_id=23468964,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),16982491.68,21228114.6,0.7999999999999999,3,0,0,0,0,0,0,3782
23468967,https://e-auksion.uz/lot-view?lot_id=23468967,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),14673890.88,18342363.6,0.7999999999999999,3,0,0,0,0,0,0,3782
23468968,https://e-auksion.uz/lot-view?lot_id=23468968,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),11657047.28,14571309.1,0.7999999999999999,3,0,0,0,0,0,0,3782
23136483,https://e-auksion.uz/lot-view?lot_id=23136483,Qo`qon shahri,Yengil,Odatiy sozlama,49769300.0,71099000.0,0.7,1,0,0,0,0,0,0,249
23300141,https://e-auksion.uz/lot-view?lot_id=23300141,Rishton tumani,Maxsus texnikalar,Odatiy sozlama,572726700.0,818181000.0,0.7,2,0,0,0,0,0,0,249
23452337,https://e-auksion.uz/lot-view?lot_id=23452337,Beshariq tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,59884941.6,74856177.0,0.8,3,0,0,0,0,0,0,3782
23468977,https://e-auksion.uz/lot-view?lot_id=23468977,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9595295.44,11994119.3,0.7999999999999999,3,0,0,0,0,0,0,3782
23136460,https://e-auksion.uz/lot-view?lot_id=23136460,Quvasoy shahri,Noturar-joy obyektlari,Odatiy sozlama,1213842339.5,1734060485.0,0.7,1,0,0,0,0,0,0,249
23468961,https://e-auksion.uz/lot-view?lot_id=23468961,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),14605367.04,18256708.8,0.7999999999999999,3,0,0,0,0,0,0,3782
23468973,https://e-auksion.uz/lot-view?lot_id=23468973,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),11657047.28,14571309.1,0.7999999999999999,3,0,0,0,0,0,0,3782
23468966,https://e-auksion.uz/lot-view?lot_id=23468966,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),14673890.88,18342363.6,0.7999999999999999,3,0,0,0,0,0,0,3782
